date,timeframe_min,entry_time,exit_time,side,entry,exit,pnl_pts,exit_reason,or_high,or_low,or_range,vix_at_or,vix_bucket
2015-04-16,60,2015-04-16 10:18:00,2015-04-16 15:25:00,short,8702.8,8697.9,4.899999999999636,EOD,8759.1,8702.8,56.30000000000109,14.99,12-15
2015-04-17,60,2015-04-17 13:13:00,2015-04-17 15:25:00,short,8638.55,8602.3,36.25,EOD,8698.75,8638.55,60.20000000000073,15.1,>15
2015-04-20,60,2015-04-20 10:20:00,2015-04-20 15:25:00,short,8548.45,8447.7,100.75,EOD,8619.95,8548.45,71.5,15.64,>15
2015-04-21,60,2015-04-21 10:25:00,2015-04-21 15:25:00,short,8397.6,8392.2,5.399999999999636,EOD,8469.15,8397.6,71.54999999999927,17.07,>15
2015-04-22,60,2015-04-22 10:19:00,2015-04-22 13:51:00,short,8381.9,8299.799999999997,82.10000000000218,TP,8422.95,8381.9,41.05000000000109,17.3,>15
2015-04-23,60,2015-04-23 10:34:00,2015-04-23 15:25:00,short,8451.35,8392.25,59.100000000000364,EOD,8504.95,8451.35,53.600000000000364,17.15,>15
2015-04-24,60,2015-04-24 10:37:00,2015-04-24 15:25:00,short,8342.8,8323.05,19.75,EOD,8412.15,8342.8,69.35000000000036,19.07,>15
2015-04-27,60,2015-04-27 10:39:00,2015-04-27 15:25:00,short,8242.2,8212.1,30.100000000000364,EOD,8331.4,8242.2,89.19999999999891,19.08,>15
2015-04-28,60,2015-04-28 10:24:00,2015-04-28 15:25:00,long,8262.05,8263.95,1.9000000000014552,EOD,8262.05,8185.75,76.29999999999927,18.1,>15
2015-04-29,60,2015-04-29 10:16:00,2015-04-29 12:59:00,short,8252.5,8291.05,-38.54999999999927,SL,8291.05,8252.5,38.54999999999927,17.6,>15
2015-04-30,60,2015-04-30 13:04:00,2015-04-30 15:25:00,short,8147.75,8196.4,-48.649999999999636,EOD,8228.9,8147.75,81.14999999999964,17.91,>15
2015-05-04,60,2015-05-04 11:47:00,2015-05-04 15:25:00,long,8292.2,8342.35,50.149999999999636,EOD,8292.2,8221.25,70.95000000000073,17.88,>15
2015-05-05,60,2015-05-05 10:29:00,2015-05-05 13:13:00,long,8341.65,8300.15,-41.5,SL,8341.65,8300.15,41.5,17.53,>15
2015-05-06,60,2015-05-06 11:21:00,2015-05-06 15:25:00,short,8140.85,8092.5,48.350000000000364,EOD,8330.3,8140.85,189.4499999999989,19.54,>15
2015-05-07,60,2015-05-07 12:30:00,2015-05-07 15:25:00,short,8034.7,8061.55,-26.850000000000364,EOD,8122.2,8034.7,87.5,19.72,>15
2015-05-08,60,2015-05-08 11:23:00,2015-05-08 15:25:00,long,8175.3,8186.8,11.5,EOD,8175.3,8123.65,51.650000000000546,19.25,>15
2015-05-11,60,2015-05-11 10:21:00,2015-05-11 15:25:00,long,8269.45,8322.8,53.349999999998545,EOD,8269.45,8224.85,44.600000000000364,19.05,>15
2015-05-12,60,2015-05-12 10:23:00,2015-05-12 15:25:00,short,8170.55,8133.95,36.600000000000364,EOD,8326.15,8170.55,155.59999999999945,19.65,>15
2015-05-13,60,2015-05-13 10:58:00,2015-05-13 15:25:00,short,8157.8,8238.15,-80.34999999999945,EOD,8254.55,8157.8,96.74999999999909,19.84,>15
2015-05-14,60,2015-05-14 15:13:00,2015-05-14 15:25:00,long,8232.45,8225.9,-6.550000000001091,EOD,8232.45,8137.55,94.90000000000055,21.54,>15
2015-05-18,60,2015-05-18 10:25:00,2015-05-18 15:25:00,long,8321.45,8378.5,57.04999999999927,EOD,8321.45,8271.95,49.5,19.29,>15
2015-05-19,60,2015-05-19 10:39:00,2015-05-19 15:25:00,long,8367.65,8357.6,-10.049999999999272,EOD,8367.65,8335.25,32.399999999999636,18.2,>15
2015-05-21,60,2015-05-21 10:36:00,2015-05-21 15:25:00,short,8383.6,8417.3,-33.69999999999891,EOD,8442.2,8383.6,58.600000000000364,17.85,>15
2015-05-22,60,2015-05-22 10:22:00,2015-05-22 13:14:00,long,8441.6,8483.000000000002,41.400000000001455,TP,8441.6,8420.9,20.700000000000728,17.12,>15
2015-05-25,60,2015-05-25 12:42:00,2015-05-25 15:25:00,short,8415.05,8369.75,45.29999999999927,EOD,8441.95,8415.05,26.900000000001455,17.25,>15
2015-05-26,60,2015-05-26 13:23:00,2015-05-26 15:25:00,short,8337.5,8348.15,-10.649999999999636,EOD,8378.45,8337.5,40.95000000000073,17.36,>15
2015-05-27,60,2015-05-27 10:35:00,2015-05-27 15:25:00,long,8333.25,8340.15,6.899999999999636,EOD,8333.25,8278.3,54.95000000000073,17.77,>15
2015-05-28,60,2015-05-28 10:27:00,2015-05-28 12:55:00,short,8335.2,8277.2,58.0,TP,8364.2,8335.2,29.0,17.01,>15
2015-05-29,60,2015-05-29 10:16:00,2015-05-29 15:25:00,long,8360.75,8434.9,74.14999999999964,EOD,8360.75,8306.7,54.04999999999927,17.62,>15
2015-06-01,60,2015-06-01 10:57:00,2015-06-01 15:25:00,long,8448.75,8425.2,-23.549999999999272,EOD,8448.75,8406.25,42.5,17.25,>15
2015-06-02,60,2015-06-02 11:00:00,2015-06-02 15:25:00,short,8365.7,8231.5,134.20000000000073,EOD,8442.8,8365.7,77.09999999999854,16.69,>15
2015-06-03,60,2015-06-03 10:23:00,2015-06-03 15:25:00,short,8173.1,8145.3,27.800000000000182,EOD,8234.4,8173.1,61.29999999999927,16.94,>15
2015-06-04,60,2015-06-04 12:56:00,2015-06-04 15:25:00,short,8105.35,8132.55,-27.199999999999818,EOD,8158.6,8105.35,53.25,18.03,>15
2015-06-05,60,2015-06-05 10:31:00,2015-06-05 11:55:00,short,8103.7,8137.25,-33.55000000000018,SL,8137.25,8103.7,33.55000000000018,18.23,>15
2015-06-08,60,2015-06-08 12:33:00,2015-06-08 15:25:00,short,8054.55,8038.7,15.850000000000364,EOD,8129.15,8054.55,74.59999999999945,18.8,>15
2015-06-09,60,2015-06-09 10:48:00,2015-06-09 15:25:00,short,8013.9,8018.15,-4.25,EOD,8057.05,8013.9,43.150000000000546,18.72,>15
2015-06-10,60,2015-06-10 10:22:00,2015-06-10 15:25:00,long,8108.75,8118.7,9.949999999999818,EOD,8108.75,8024.15,84.60000000000036,17.41,>15
2015-06-11,60,2015-06-11 10:18:00,2015-06-11 11:04:00,short,8123.0,8045.700000000001,77.29999999999927,TP,8161.65,8123.0,38.649999999999636,16.88,>15
2015-06-12,60,2015-06-12 10:16:00,2015-06-12 14:31:00,long,7980.95,7941.2,-39.75,SL,7980.95,7941.2,39.75,17.81,>15
2015-06-15,60,2015-06-15 13:20:00,2015-06-15 15:25:00,long,8034.35,8009.7,-24.650000000000546,EOD,8034.35,7945.55,88.80000000000018,18.02,>15
2015-06-16,60,2015-06-16 12:59:00,2015-06-16 14:30:00,short,7973.1,8009.4,-36.29999999999927,SL,8009.4,7973.1,36.29999999999927,17.75,>15
2015-06-17,60,2015-06-17 13:41:00,2015-06-17 15:25:00,long,8092.85,8089.8,-3.050000000000182,EOD,8092.25,8049.75,42.5,17.07,>15
2015-06-18,60,2015-06-18 10:49:00,2015-06-18 15:25:00,long,8159.3,8172.65,13.349999999999454,EOD,8159.3,8103.6,55.69999999999982,16.0,>15
2015-06-19,60,2015-06-19 10:17:00,2015-06-19 12:40:00,long,8225.45,8200.1,-25.350000000000364,SL,8225.45,8200.1,25.350000000000364,15.57,>15
2015-06-22,60,2015-06-22 10:14:01,2015-06-22 15:25:00,long,8302.7,8349.2,46.5,EOD,8302.7,8259.3,43.400000000001455,15.6,>15
2015-06-23,60,2015-06-23 10:15:02,2015-06-23 15:25:00,long,8391.15,8377.4,-13.75,EOD,8390.45,8335.75,54.70000000000073,15.11,>15
